timestamp_ns,waker_pid,target_pid,cpu,latency_ns,waker_comm,target_comm,waker_kernel_stack,target_state,waker_cpu,target_cpu
35900098901237,0,404175,1,0,b'swapper/1',b'stress-ng-aio',,0,0,1
35900098949161,0,404184,1,0,b'swapper/1',b'stress-ng-cpu',,0,0,1
35900098954344,0,404175,1,0,b'swapper/1',b'stress-ng-aio',,0,0,1
35900135375620,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135430211,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135467608,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135485496,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135504826,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135521408,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135598393,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135617962,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135729071,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135768243,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135788582,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135805406,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135846961,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135863855,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135882790,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135899181,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135917788,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135934128,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135952550,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135968759,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900135987515,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900136019608,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900136047169,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900136066862,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900136089068,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900136107713,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900136128399,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900136146555,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900136167040,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900136185033,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900136205592,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900136224238,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900219719151,404187,404187,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900219763741,404187,404187,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900219786122,404187,404187,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900219808272,404187,404187,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900219857949,404187,404187,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900219904600,404181,404181,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900219944308,404181,404181,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900219966934,404181,404181,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900220018465,404181,404181,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900220044675,404181,404181,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900220066462,404181,404181,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900220091665,404181,404181,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900220116879,404181,404181,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900220141575,404173,404173,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900220233004,404187,404187,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900244678488,404185,404185,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900244782299,404185,404185,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900244804536,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900244926820,404185,404185,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278157514,404173,404173,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278178545,404177,404177,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278195607,404175,404175,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278327720,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278353052,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278375450,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278392584,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278412981,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278429664,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278448470,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278464929,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278483198,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278499400,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278518065,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278534567,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278553196,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278569609,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
35900278588003,404191,404191,1,0,b'stress-ng-aio',b'stress-ng-aio',,0,0,1
